"spp","month","occ"
"act_hyp","5",0.774240202181578
"ana_cly","5",0.903602418104727
"ana_cre","5",0.828302216596
"ana_pla","5",4.47654050681832
"ana_que","5",1.23472754171864
"ana_str","5",4.15570465987863
"ans_ans","5",2.89807304200891
"ard_cin","5",3.73149207383843
"ayt_fer","5",3.85047976683531
"ayt_ful","5",3.88489380611955
"buc_cla","5",2.96581989543921
"cas_alb","5",1.63332849581863
"cha_dub","5",1.29761808672263
"cic_nig","5",0.962076972632215
"cir_aer","5",1.57170261083559
"cyg_olo","5",3.63688814684407
"ful_atr","5",3.53088939488254
"gal_chl","5",1.02805531861226
"hal_alb","5",1.13321411304184
"lar_cac","5",1.12495241758257
"lar_rid","5",3.27328217296658
"net_ruf","5",2.86083546601428
"nyc_nyc","5",1.37683950614507
"pha_car","5",2.20662119422353
"pod_cri","5",3.50944679516453
"pod_nig","5",0.949112819021096
"ste_hir","5",2.29231967699527
"tac_ruf","5",2.51135762316067
"tri_gla","5",1.03891405608143
"tri_och","5",0.840589038053823
"van_van","5",1.81489350107989
"act_hyp","7",0.953416149104383
"ana_cly","7",0.693147180559945
"ana_cre","7",0.760724698577972
"ana_pla","7",3.95343403899038
"ana_que","7",0.876249228671297
"ana_str","7",3.36124709682039
"ans_ans","7",2.95243376903418
"ard_cin","7",4.00974591416383
"ayt_fer","7",3.51531542255978
"ayt_ful","7",3.74762063213651
"buc_cla","7",2.00666185030332
"cas_alb","7",2.20965055434783
"cha_dub","7",0.936426245424844
"cic_nig","7",1.1000647390793
"cir_aer","7",1.3350586087458
"cyg_olo","7",3.42312582348483
"ful_atr","7",3.47948317134259
"gal_chl","7",1.16636348700438
"hal_alb","7",1.26295196355458
"lar_cac","7",0.866433975699931
"lar_rid","7",3.36149481318284
"net_ruf","7",2.29760401680885
"nyc_nyc","7",1.7505221878792
"pha_car","7",2.53340072196162
"pod_cri","7",3.53121692084283
"pod_nig","7",1.04637633515477
"ste_hir","7",2.37199463594351
"tac_ruf","7",2.83012541681976
"tri_gla","7",1.09861228866811
"tri_och","7",1.23695610766999
"van_van","7",1.18367465840379
